time,methane_concentration,light_intensity,absorption_peak,relativity,pcb_temperature,laser_temperature,tec_current,laser_housing_temperature,SNR,status,ver,err_code,flight_status,longitude,latitude,altitude,relative_altitude,home_distance,speed,dis_code,distance,dest_longitude,dest_latitude,uav_pitch,uav_roll,uav_yaw,gimbal_pitch,gimbal_roll,gimbal_yaw,camera_focal_length,camera_zoom,file_name
2026-03-10_00:56:06:369,0,16,763,992,32,24,160,26,2,0,19,0,2,-75.6987833,45.3853646,  32.4,   0.9,0.1, 0.1,0,46.0,-75.6988436,45.3857761,-1.4,-1.6,-8.0,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:06:469,0,12,763,975,32,24,149,26,1,0,19,0,2,-75.6987833,45.3853647,  32.4,   0.9,0.1, 0.1,0,46.0,-75.6988436,45.3857762,-0.7,-1.3,-8.0,-0.6,-2.0,-5.9,8,8,
2026-03-10_00:56:06:569,0,9,763,975,32,24,151,26,0,0,19,0,2,-75.6987834,45.3853648,  32.4,   0.9,0.1, 0.1,0,93.5,-75.6989059,45.3862012, 0.4,-1.1,-8.1,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:06:669,0,8,763,981,32,24,164,26,1,0,19,0,2,-75.6987834,45.3853649,  32.9,   1.3,0.1, 0.1,0,93.5,-75.6989059,45.3862013, 1.1,-1.3,-8.2,-0.7,-2.0,-5.9,8,8,
2026-03-10_00:56:06:769,0,8,763,981,32,24,164,26,1,0,19,0,2,-75.6987834,45.3853649,  32.9,   1.3,0.1, 0.0,0,93.5,-75.6989039,45.3862015, 1.0,-1.7,-8.2,-0.7,-2.0,-5.8,8,8,
2026-03-10_00:56:06:870,0,7,763,966,32,24,160,26,1,0,19,0,2,-75.6987834,45.3853650,  32.9,   1.3,0.1, 0.0,0,93.5,-75.6989059,45.3862014, 0.4,-2.6,-8.2,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:06:970,0,7,763,934,32,24,155,26,12,0,19,0,2,-75.6987833,45.3853650,  32.9,   1.3,0.1, 0.0,0,93.5,-75.6989038,45.3862016,-0.6,-3.3,-8.2,-0.6,-2.2,-5.8,8,8,
2026-03-10_00:56:07:070,0,8,763,844,32,24,152,26,2,0,19,0,2,-75.6987834,45.3853651,  32.9,   1.3,0.1, 0.1,0,93.5,-75.6989037,45.3862016,-3.3,-3.2,-8.1,-0.8,-2.1,-5.8,8,8,
2026-03-10_00:56:07:170,0,9,763,960,32,24,157,26,0,0,19,0,2,-75.6987834,45.3853651,  32.9,   1.3,0.1, 0.2,0,93.5,-75.6989039,45.3862017,-6.0,-2.6,-8.1,-0.7,-2.1,-5.8,8,8,
2026-03-10_00:56:07:270,0,10,763,963,32,23,160,26,0,0,19,0,2,-75.6987835,45.3853652,  32.9,   1.3,0.1, 0.2,0,93.5,-75.6989061,45.3862016,-7.5,-2.1,-8.2,-0.7,-2.1,-5.9,8,8,
2026-03-10_00:56:07:370,0,14,763,977,32,24,157,26,2,0,19,0,2,-75.6987837,45.3853656,  32.9,   1.3,0.1, 0.4,0,93.5,-75.6989062,45.3862019,-8.0,-1.6,-8.3,-0.7,-2.0,-5.9,8,8,
